Product Name,Item Number ,Sales Units,SRP (CNY),"Promo Discount
(OFF)",Selling Price (CNY),Selling Price (USD),Gross Sales Revenue (USD),USD VAT (13%),Net Sales Revenue (USD),Channel Gross Margin %,Channel Profits (USD),Disti Gross Margin %,Disti Profits (USD),Marketing Support %,Marketing Fee (5%),Unit Price,"Payment Amount
(USD)",Disti Cost % from SRP
.hack//G.U. Last Recode,E05367,20,278.0,0.9,27.0,3.68199,73.6398,0.4786587,64.066626,0.2,12.813325200000001,0.05,3.2033313000000003,0.05,3.2033313000000003,2.24,44.846638199999994,0.609
Accel World VS. Sword Art Online Deluxe Edition,E02452,22,278.0,0.9,27.799999999999994,3.791085999999999,83.40389199999998,0.4928411799999999,72.56138603999997,0.2,14.512277207999995,0.05,3.6280693019999988,0.05,3.6280693019999988,2.31,50.79297022799998,0.6089999999999999
ACE COMBAT 7: SKIES UNKNOWN,E03174,1,268.0,0.0,268.0,36.54716,36.54716,4.7511308,31.7960292,0.2,6.35920584,0.05,1.58980146,0.05,1.58980146,22.26,22.257220439999998,0.609
ACE COMBAT 7: SKIES UNKNOWN,E03174,4,268.0,0.8,53.59999999999999,7.3094319999999975,29.23772799999999,0.9502261599999997,25.43682335999999,0.2,5.087364671999999,0.07,1.7805776351999996,0.05,1.2718411679999997,4.32,17.297039884799993,0.5916
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,E05445,6,368.0,0.8,73.0,9.95501,59.730059999999995,1.2941513,51.965152200000006,0.2,10.393030440000002,0.05,2.5982576100000006,0.05,2.5982576100000006,6.06,36.37560654000001,0.6090000000000002
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,1,498.0,0.0,498.0,67.91225999999999,67.91225999999999,8.828593799999998,59.08366619999999,0.2,11.816733239999998,0.05,2.9541833099999995,0.05,2.9541833099999995,41.36,41.358566339999996,0.609
ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,E05444,156,498.0,0.8,99.0,13.50063,2106.0982799999997,1.7550819,1832.3055035999998,0.2,366.46110072,0.05,91.61527518,0.05,91.61527518,8.22,1282.61385252,0.6090000000000001
ARMORED CORE VI FIRES OF RUBICON Deluxe Edition,E05838,4,348.0,0.0,348.0,47.456759999999996,189.82703999999998,6.1693788,165.1495248,0.2,33.02990496,0.05,8.25747624,0.05,8.25747624,28.9,115.60466735999998,0.609
ARMORED CORE VI FIRES OF RUBICON Standard Edition,E05837,49,298.0,0.0,298.0,40.638259999999995,1991.2747399999998,5.2829738,1732.4090237999997,0.2,346.48180475999993,0.05,86.62045118999998,0.05,86.62045118999998,24.75,1212.6863166599996,0.6089999999999999
Baten Kaitos I & II HD Remaster,E06117,1,248.0,0.0,248.0,33.819759999999995,33.819759999999995,4.3965688,29.423191199999994,0.2,5.884638239999999,0.05,1.4711595599999998,0.05,1.4711595599999998,20.6,20.596233839999996,0.609
Baten Kaitos I & II HD Remaster,E06117,1,248.0,0.3,173.0,23.59201,23.59201,3.0669613,20.5250487,0.2,4.10500974,0.05,1.026252435,0.05,1.026252435,14.37,14.36753409,0.609
BLACK CLOVER: QUARTET KNIGHTS,E02895,9,268.0,0.9,26.0,3.5456199999999995,31.910579999999996,0.46093059999999997,27.762204599999993,0.2,5.552440919999999,0.05,1.3881102299999997,0.05,1.3881102299999997,2.16,19.433543219999997,0.609
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,E02950,7,288.0,0.85,43.0,5.86391,41.04737,0.7623082999999999,35.711211899999995,0.2,7.142242379999999,0.05,1.7855605949999998,0.05,1.7855605949999998,3.57,24.997848329999997,0.6089999999999999
Captain Tsubasa: Rise of New Champions,E03350,3,198.0,0.85,29.0,3.9547299999999996,11.864189999999999,0.5141148999999999,10.3218453,0.2,2.06436906,0.05,0.516092265,0.05,0.516092265,2.41,7.225291709999999,0.609
Captain Tsubasa: Rise of New Champions - Deluxe Edition,E04120,4,298.0,0.85,44.0,6.00028,24.00112,0.7800364000000001,20.8809744,0.2,4.17619488,0.05,1.04404872,0.05,1.04404872,3.65,14.61668208,0.609
Captain Tsubasa: Rise of New Champions - Ultimate Edition,E06275,14,398.0,0.85,59.70000000000001,8.141289,113.978046,1.0583675700000001,99.16090002000001,0.2,19.832180004000005,0.07,6.941263001400002,0.05,4.958045001000001,4.82,67.4294120136,0.5916
CODE VEIN,E03009,1,268.0,0.0,268.0,36.54716,36.54716,4.7511308,31.7960292,0.2,6.35920584,0.05,1.58980146,0.05,1.58980146,22.26,22.257220439999998,0.609
CODE VEIN,E03009,95,268.0,0.85,40.2,5.482074,520.79703,0.71266962,453.0934161,0.2,90.61868322000001,0.05,22.654670805000002,0.05,22.654670805000002,3.34,317.16539127,0.609
CODE VEIN Deluxe Edition,E03483 ,202,368.0,0.85,55.0,7.500349999999999,1515.0706999999998,0.9750454999999999,1318.1115089999998,0.2,263.6223018,0.05,65.90557545,0.05,65.90557545,4.57,922.6780562999998,0.609
DARK SOULS II: Scholar of the First Sin,E01927,26,198.0,0.0,198.0,27.00126,702.0327599999999,3.5101638,610.7685012,0.2,122.15370023999999,0.05,30.538425059999998,0.05,30.538425059999998,16.44,427.53795083999995,0.609
DARK SOULS II: Scholar of the First Sin,E01927,994,198.0,0.5,99.0,13.50063,13419.62622,1.7550819,11675.074811399998,0.2,2335.0149622799995,0.05,583.7537405699999,0.05,583.7537405699999,8.22,8172.552367979998,0.6089999999999999
DARK SOULS III,E01572,30,268.0,0.0,268.0,36.54716,1096.4148,4.7511308,953.880876,0.2,190.7761752,0.05,47.6940438,0.05,47.6940438,22.26,667.7166131999999,0.6089999999999999
DARK SOULS III,E01572,501,268.0,0.5,134.0,18.27358,9155.06358,2.3755654,7964.9053146,0.2,1592.98106292,0.05,398.24526573,0.05,398.24526573,11.13,5575.4337202199995,0.609
DARK SOULS III - Season Pass,E01893,43,138.0,0.0,138.0,18.81906,809.2195800000001,2.4464778000000003,704.0210346,0.2,140.80420692,0.05,35.20105173,0.05,35.20105173,11.46,492.81472422,0.609
DARK SOULS III - Season Pass,E01893,139,138.0,0.5,69.0,9.40953,1307.92467,1.2232389000000001,1137.8944629,0.2,227.57889258,0.05,56.894723145,0.05,56.894723145,5.73,796.5261240300001,0.6090000000000001
DARK SOULS III Deluxe Edition,E02323,30,398.0,0.0,398.0,54.275259999999996,1628.2577999999999,7.0557837999999995,1416.5842859999998,0.2,283.31685719999996,0.05,70.82921429999999,0.05,70.82921429999999,33.05,991.6090002,0.609
DARK SOULS III Deluxe Edition,E02323,1040,398.0,0.5,199.0,27.137629999999998,28223.135199999997,3.5278918999999997,24554.127623999997,0.2,4910.8255248,0.05,1227.7063812,0.05,1227.7063812,16.53,17187.889336799995,0.6089999999999999
DARK SOULS: REMASTERED,E02716,56,198.0,0.0,198.0,27.00126,1512.07056,3.5101638,1315.5013872,0.2,263.10027744,0.05,65.77506936,0.05,65.77506936,16.44,920.8509710400001,0.6090000000000001
DARK SOULS: REMASTERED,E02716,1022,198.0,0.5,99.0,13.50063,13797.64386,1.7550819,12003.9501582,0.2,2400.79003164,0.05,600.19750791,0.05,600.19750791,8.22,8402.765110740002,0.6090000000000001
DEATH NOTE Killer Within,E06643,8,48.0,0.0,48.0,6.54576,52.36608,0.8509488,45.558489599999994,0.2,9.11169792,0.05,2.27792448,0.05,2.27792448,3.99,31.890942719999995,0.609
DEATH NOTE Killer Within,E06643,15,48.0,0.2,38.0,5.18206,77.73089999999999,0.6736678,67.62588299999999,0.2,13.525176599999998,0.05,3.3812941499999996,0.05,3.3812941499999996,3.16,47.33811809999999,0.6089999999999999
DEATH NOTE Killer Within Special Edition,E06646,2,98.0,0.0,98.0,13.36426,26.72852,1.7373538,23.2538124,0.2,4.65076248,0.05,1.16269062,0.05,1.16269062,8.14,16.27766868,0.6090000000000001
DEATH NOTE Killer Within Special Edition,E06646,1,98.0,0.2,78.0,10.636859999999999,10.636859999999999,1.3827918,9.254068199999999,0.2,1.85081364,0.05,0.46270341,0.05,0.46270341,6.48,6.47784774,0.6090000000000001
Digimon Story Cyber Sleuth: Complete Edition,E05368,2,228.0,0.0,228.0,31.09236,62.18472,4.0420068,54.1007064,0.2,10.820141280000001,0.05,2.7050353200000004,0.05,2.7050353200000004,18.94,37.87049448,0.609
Digimon Story Cyber Sleuth: Complete Edition,E05368,2,228.0,0.61,88.0,12.00056,24.00112,1.5600728000000001,20.8809744,0.2,4.17619488,0.05,1.04404872,0.05,1.04404872,7.31,14.61668208,0.609
Digimon Survive,E03730,1,298.0,0.0,298.0,40.638259999999995,40.638259999999995,5.2829738,35.355286199999995,0.2,7.071057239999999,0.05,1.7677643099999998,0.05,1.7677643099999998,24.75,24.748700339999996,0.609
DORAEMON STORY OF SEASONS,E06163,1,228.0,0.5,114.0,15.54618,15.54618,2.0210034,13.5251766,0.2,2.7050353200000004,0.05,0.6762588300000001,0.05,0.6762588300000001,9.47,9.46762362,0.609
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,E05019,1,248.0,0.0,248.0,33.819759999999995,33.819759999999995,4.3965688,29.423191199999994,0.2,5.884638239999999,0.05,1.4711595599999998,0.05,1.4711595599999998,20.6,20.596233839999996,0.609
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,E05019,3,248.0,0.3,173.0,23.59201,70.77602999999999,3.0669613,61.5751461,0.2,12.31502922,0.05,3.078757305,0.05,3.078757305,14.37,43.102602270000006,0.6090000000000001
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,2,348.0,0.0,348.0,47.456759999999996,94.91351999999999,6.1693788,82.5747624,0.2,16.51495248,0.05,4.12873812,0.05,4.12873812,28.9,57.80233367999999,0.609
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom Deluxe Edition,E05733,3,348.0,0.3,243.0,33.13791,99.41372999999999,4.3079282999999995,86.4899451,0.2,17.29798902,0.05,4.324497255,0.05,4.324497255,20.18,60.54296157,0.6090000000000001
DRAGON BALL FighterZ,E02533,2,198.0,0.0,198.0,27.00126,54.00252,3.5101638,46.982192399999995,0.2,9.396438479999999,0.05,2.3491096199999997,0.05,2.3491096199999997,16.44,32.887534679999995,0.609
DRAGON BALL FighterZ,E02533,1,198.0,0.56,87.0,11.864189999999999,11.864189999999999,1.5423447,10.3218453,0.2,2.06436906,0.05,0.516092265,0.05,0.516092265,7.23,7.225291709999999,0.609
DRAGON BALL FighterZ - FighterZ Edition,E02595,1,298.0,0.7,89.0,12.13693,12.13693,1.5778009,10.5591291,0.2,2.11182582,0.05,0.527956455,0.05,0.527956455,7.39,7.39139037,0.609
DRAGON BALL FighterZ - Legendary Edition,E03177,1,398.0,0.0,398.0,54.275259999999996,54.275259999999996,7.0557837999999995,47.219476199999995,0.2,9.44389524,0.05,2.36097381,0.05,2.36097381,33.05,33.053633340000005,0.6090000000000001
DRAGON BALL FighterZ - Legendary Edition,E02596,23,398.0,0.64,143.0,19.500909999999998,448.52092999999996,2.5351182999999997,390.2132090999999,0.2,78.04264181999999,0.05,19.510660454999996,0.05,19.510660454999996,11.88,273.14924636999996,0.609
DRAGON BALL XENOVERSE 2,E02035,14,98.0,0.0,98.0,13.36426,187.09964,1.7373538,162.7766868,0.2,32.55533736,0.05,8.13883434,0.05,8.13883434,8.14,113.94368075999998,0.6089999999999999
DRAGON BALL XENOVERSE 2,E02035,1,98.0,0.0999999999999999,88.0,12.00056,12.00056,1.5600728000000001,10.4404872,0.2,2.08809744,0.05,0.52202436,0.05,0.52202436,7.31,7.30834104,0.609
DRAGON BALL XENOVERSE 2 Deluxe Edition,E02036,2,198.0,0.0,198.0,27.00126,54.00252,3.5101638,46.982192399999995,0.2,9.396438479999999,0.05,2.3491096199999997,0.05,2.3491096199999997,16.44,32.887534679999995,0.609
DRAGON BALL XENOVERSE 2 Deluxe Edition,E02036,6,198.0,0.5,99.0,13.50063,81.00377999999999,1.7550819,70.47328859999999,0.2,14.094657719999999,0.05,3.5236644299999997,0.05,3.5236644299999997,8.22,49.331302019999995,0.609
DRAGON BALL XENOVERSE 2 Special Edition,E06308,4,248.0,0.0,248.0,33.819759999999995,135.27903999999998,4.3965688,117.69276479999998,0.2,23.538552959999997,0.05,5.884638239999999,0.05,5.884638239999999,20.6,82.38493535999999,0.609
DRAGON BALL XENOVERSE 2 Special Edition,E06308,8,248.0,0.5,124.0,16.909879999999998,135.27903999999998,2.1982844,117.69276479999998,0.2,23.538552959999997,0.05,5.884638239999999,0.05,5.884638239999999,10.3,82.38493535999999,0.609
DRAGON BALL Z: KAKAROT,E03005,1,298.0,0.0,298.0,40.638259999999995,40.638259999999995,5.2829738,35.355286199999995,0.2,7.071057239999999,0.05,1.7677643099999998,0.05,1.7677643099999998,24.75,24.748700339999996,0.609
DRAGON BALL Z: KAKAROT,E03005,3,298.0,0.7,89.0,12.13693,36.41079,1.5778009,31.6773873,0.2,6.33547746,0.05,1.583869365,0.05,1.583869365,7.39,22.174171110000003,0.6090000000000001
DRAGON BALL Z: KAKAROT Deluxe Edition,E03730,44,398.0,0.77,91.53999999999999,12.483309799999999,549.2656311999999,1.622830274,477.8610991439999,0.2,95.57221982879999,0.05,23.893054957199997,0.05,23.893054957199997,7.6,334.5027694008,0.6090000000000001
DRAGON BALL Z: KAKAROT Legendary Edition,E06163,1,498.0,0.0,498.0,67.91225999999999,67.91225999999999,8.828593799999998,59.08366619999999,0.2,11.816733239999998,0.05,2.9541833099999995,0.05,2.9541833099999995,41.36,41.358566339999996,0.609
DRAGON BALL Z: KAKAROT Legendary Edition,E06163,129,498.0,0.75,124.5,16.978064999999997,2190.1703849999994,2.2071484499999996,1905.4482349499997,0.2,381.08964698999995,0.05,95.27241174749999,0.05,95.27241174749999,10.34,1333.8137644649998,0.6090000000000001
DRAGON BALL: Sparking! ZERO,E06127,152,298.0,0.0,298.0,40.638259999999995,6177.015519999999,5.2829738,5374.003502399999,0.2,1074.80070048,0.05,268.70017512,0.05,268.70017512,24.75,3761.8024516799987,0.6089999999999999
DRAGON BALL: Sparking! ZERO Deluxe Edition,E06634,103,478.0,0.0,478.0,65.18486,6714.04058,8.4740318,5841.2153046,0.2,1168.24306092,0.05,292.06076523,0.05,292.06076523,39.7,4088.8507132199998,0.609
DRAGON BALL: Sparking! ZERO Ultimate Edition,E06655,48,538.0,0.0,538.0,73.36706,3521.61888,9.5377178,3063.8084256,0.2,612.76168512,0.05,153.19042128,0.05,153.19042128,44.68,2144.66589792,0.609
DRAGON BALL: THE BREAKERS,E05011,5,98.0,0.0,98.0,13.36426,66.8213,1.7373538,58.134531,0.2,11.6269062,0.05,2.90672655,0.05,2.90672655,8.14,40.6941717,0.609
GOD EATER 2 Rage Burst,E05369,57,268.0,0.9,26.0,3.5456199999999995,202.10033999999996,0.46093059999999997,175.82729579999997,0.2,35.16545916,0.05,8.79136479,0.05,8.79136479,2.16,123.07910706,0.6090000000000001
GOD EATER 3,E03177,207,268.0,0.9,26.0,3.5456199999999995,733.9433399999999,0.46093059999999997,638.5307057999999,0.2,127.70614115999997,0.05,31.926535289999993,0.05,31.926535289999993,2.16,446.9714940599999,0.6089999999999999
GUNDAM BREAKER 4,E04524,5,298.0,0.0,298.0,40.638259999999995,203.19129999999998,5.2829738,176.77643099999997,0.2,35.355286199999995,0.05,8.838821549999999,0.05,8.838821549999999,24.75,123.74350169999997,0.6089999999999999
GUNDAM BREAKER 4 Deluxe Edition,E06529,2,448.0,0.0,448.0,61.093759999999996,122.18751999999999,7.942188799999999,106.3031424,0.2,21.26062848,0.05,5.31515712,0.05,5.31515712,37.21,74.41219968000001,0.6090000000000002
GUNDAM BREAKER 4 Ultimate Edition,E06530,2,498.0,0.0,498.0,67.91225999999999,135.82451999999998,8.828593799999998,118.16733239999998,0.2,23.633466479999996,0.05,5.908366619999999,0.05,5.908366619999999,41.36,82.71713267999999,0.609
JoJo's Bizarre Adventure: All-Star Battle R Deluxe Edition,E05524,1,348.0,0.0,348.0,47.456759999999996,47.456759999999996,6.1693788,41.2873812,0.2,8.25747624,0.05,2.06436906,0.05,2.06436906,28.9,28.901166839999995,0.609
JoJo's Bizarre Adventure: All-Star Battle R Deluxe Edition,E05524,36,348.0,0.72,97.0,13.227889999999999,476.20403999999996,1.7196257,414.29751479999993,0.2,82.85950295999999,0.05,20.714875739999997,0.05,20.714875739999997,8.06,290.0082603599999,0.6089999999999999
JoJo's Bizarre Adventure: All-Star Battle R Ultimate Edition,E06307,3,428.0,0.0,428.0,58.36635999999999,175.09908,7.5876268,152.3361996,0.2,30.467239919999997,0.07,10.663533972,0.05,7.616809979999999,34.53,103.588615728,0.5916
JoJo's Bizarre Adventure: All-Star Battle R Ultimate Edition,E06307,156,428.0,0.7,128.0,17.45536,2723.0361599999997,2.2691968,2369.0414591999997,0.2,473.80829184,0.05,118.45207296,0.05,118.45207296,10.63,1658.32902144,0.6090000000000001
Jujutsu Kaisen Cursed Clash,E05703,1,298.0,0.35,193.0,26.319409999999998,26.319409999999998,3.4215233,22.897886699999997,0.2,4.579577339999999,0.05,1.1448943349999998,0.05,1.1448943349999998,16.03,16.028520689999997,0.609
Klonoa Phantasy Reverie Series,E04522,2,198.0,0.75,49.0,6.68213,13.36426,0.8686769,11.6269062,0.2,2.32538124,0.05,0.58134531,0.05,0.58134531,4.07,8.13883434,0.6090000000000001
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,E01592,92,98.0,0.0,98.0,13.36426,1229.51192,1.7373538,1069.6753704,0.2,213.93507408000002,0.05,53.483768520000005,0.05,53.483768520000005,8.14,748.77275928,0.609
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,E01592,44,98.0,0.0999999999999999,88.0,12.00056,528.02464,1.5600728000000001,459.38143679999996,0.2,91.87628735999999,0.05,22.969071839999998,0.05,22.969071839999998,7.31,321.56700576000003,0.6090000000000001
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,E04555,4,360.0,0.5,180.0,24.546599999999998,98.18639999999999,3.191058,85.422168,0.2,17.0844336,0.05,4.2711084,0.05,4.2711084,14.95,59.7955176,0.609
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,4,684.0,0.45,376.0,51.275119999999994,205.10047999999998,6.665765599999999,178.43741759999997,0.2,35.687483519999994,0.05,8.921870879999998,0.05,8.921870879999998,31.23,124.90619231999997,0.609
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,E05371,1,684.0,0.5,342.0,46.63854,46.63854,6.0630102,40.5755298,0.2,8.11510596,0.05,2.02877649,0.05,2.02877649,28.4,28.40287086,0.609
NARUTO TO BORUTO: SHINOBI STRIKER,E02855,1,98.0,0.0,98.0,13.36426,13.36426,1.7373538,11.6269062,0.2,2.32538124,0.05,0.58134531,0.05,0.58134531,8.14,8.13883434,0.6090000000000001
